image_id,wall_id,session,path,capture_session
wall01_s1_0001,wall01,wall01_s1_0001,images/wall01_s1_0001.jpg,2026-08-10-pm
wall01_s1_0002,wall01,wall01_s1_0002,images/wall01_s1_0002.jpg,2026-08-10-pm
wall01_s1_0003,wall01,wall01_s1_0003,images/wall01_s1_0003.jpg,2026-08-10-pm
wall01_s1_0004,wall01,wall01_s1_0004,images/wall01_s1_0004.jpg,2026-08-10-pm
wall01_s1_0005,wall01,wall01_s1_0005,images/wall01_s1_0005.jpg,2026-08-10-pm
wall01_s1_0006,wall01,wall01_s1_0006,images/wall01_s1_0006.jpg,2026-08-10-pm
wall01_s1_0007,wall01,wall01_s1_0007,images/wall01_s1_0007.jpg,2026-08-10-pm
wall01_s1_0008,wall01,wall01_s1_0008,images/wall01_s1_0008.jpg,2026-08-10-pm
wall02_s1_0001,wall02,wall02_s1_0001,images/wall02_s1_0001.jpg,2026-08-10-pm
wall02_s1_0002,wall02,wall02_s1_0002,images/wall02_s1_0002.jpg,2026-08-10-pm
wall02_s1_0003,wall02,wall02_s1_0003,images/wall02_s1_0003.jpg,2026-08-10-pm
wall02_s1_0004,wall02,wall02_s1_0004,images/wall02_s1_0004.jpg,2026-08-10-pm
wall02_s1_0005,wall02,wall02_s1_0005,images/wall02_s1_0005.jpg,2026-08-10-pm
wall02_s1_0006,wall02,wall02_s1_0006,images/wall02_s1_0006.jpg,2026-08-10-pm
wall02_s1_0007,wall02,wall02_s1_0007,images/wall02_s1_0007.jpg,2026-08-10-pm
wall02_s1_0008,wall02,wall02_s1_0008,images/wall02_s1_0008.jpg,2026-08-10-pm
wall02_s1_0009,wall02,wall02_s1_0009,images/wall02_s1_0009.jpg,2026-08-10-pm
wall02_s1_0010,wall02,wall02_s1_0010,images/wall02_s1_0010.jpg,2026-08-10-pm
wall02_s1_0011,wall02,wall02_s1_0011,images/wall02_s1_0011.jpg,2026-08-10-pm
wall02_s1_0012,wall02,wall02_s1_0012,images/wall02_s1_0012.jpg,2026-08-10-pm
wall02_s1_0013,wall02,wall02_s1_0013,images/wall02_s1_0013.jpg,2026-08-10-pm
wall02_s1_0014,wall02,wall02_s1_0014,images/wall02_s1_0014.jpg,2026-08-10-pm
wall02_s1_0015,wall02,wall02_s1_0015,images/wall02_s1_0015.jpg,2026-08-10-pm
wall02_s1_0016,wall02,wall02_s1_0016,images/wall02_s1_0016.jpg,2026-08-10-pm
wall02_s1_0017,wall02,wall02_s1_0017,images/wall02_s1_0017.jpg,2026-08-10-pm
wall02_s1_0018,wall02,wall02_s1_0018,images/wall02_s1_0018.jpg,2026-08-10-pm
wall02_s1_0019,wall02,wall02_s1_0019,images/wall02_s1_0019.jpg,2026-08-10-pm
